[769, 300;
 768, 301;
 768, 302;
 767, 303;
 767, 304;
 766, 305;
 766, 307;
 765, 308;
 765, 309;
 764, 310;
 764, 311;
 763, 312;
 763, 313;
 762, 314;
 762, 315;
 761, 316;
 761, 318;
 760, 319;
 760, 320;
 759, 321;
 759, 322;
 758, 323;
 758, 324;
 757, 325;
 757, 326;
 756, 327;
 756, 329;
 755, 330;
 755, 331;
 754, 332;
 754, 333;
 753, 334;
 753, 335;
 752, 336;
 752, 337;
 751, 338;
 751, 340;
 750, 341;
 750, 342;
 749, 343;
 749, 344;
 748, 345;
 748, 346;
 747, 347;
 747, 348;
 746, 349;
 746, 351;
 745, 352;
 745, 353;
 744, 354;
 744, 355;
 743, 356;
 743, 357;
 742, 358;
 742, 359;
 741, 360;
 741, 362;
 740, 363;
 740, 364;
 739, 365;
 739, 366;
 738, 367;
 738, 368;
 737, 369;
 737, 370;
 736, 371;
 736, 373;
 735, 374;
 735, 375;
 734, 376;
 734, 377;
 733, 378;
 733, 379;
 732, 380;
 732, 381;
 731, 382;
 731, 384;
 730, 385;
 730, 386;
 729, 387;
 729, 388;
 728, 389;
 728, 390;
 727, 391;
 727, 393;
 726, 394;
 726, 395;
 725, 396;
 725, 397;
 724, 398;
 724, 399;
 723, 400;
 723, 401;
 722, 402;
 722, 404;
 721, 405;
 721, 406;
 720, 407;
 720, 408;
 719, 409;
 719, 410;
 718, 411;
 718, 412;
 717, 413;
 717, 415;
 716, 416;
 716, 417;
 715, 418;
 715, 419;
 714, 420;
 714, 421;
 713, 422;
 713, 423;
 712, 424;
 712, 426;
 711, 427;
 711, 428;
 710, 429;
 710, 430;
 709, 431;
 709, 432;
 708, 433;
 708, 434;
 707, 435;
 707, 437;
 706, 438;
 706, 439;
 705, 440;
 705, 441;
 704, 442;
 704, 443;
 703, 444;
 703, 445;
 702, 446;
 702, 448;
 701, 449;
 701, 450;
 700, 451;
 700, 452;
 699, 453;
 699, 454;
 698, 455;
 698, 456;
 697, 457;
 697, 459;
 696, 460;
 696, 461;
 695, 462;
 695, 463;
 694, 464;
 694, 465;
 693, 466;
 693, 467;
 692, 468;
 692, 470;
 691, 471;
 691, 472;
 690, 473;
 690, 474;
 689, 475;
 689, 476;
 688, 477;
 688, 478;
 687, 479;
 687, 481;
 686, 482;
 686, 483;
 685, 484;
 685, 485;
 684, 486;
 684, 487;
 683, 488;
 683, 489;
 682, 490;
 682, 492;
 681, 493;
 681, 494;
 680, 495;
 680, 496;
 679, 497;
 679, 498;
 678, 499;
 678, 500;
 677, 501;
 677, 503;
 676, 504;
 676, 505;
 675, 506;
 675, 507;
 674, 508;
 674, 509;
 673, 510;
 673, 512;
 672, 513;
 672, 514;
 671, 515;
 671, 516;
 670, 517;
 670, 518;
 669, 519;
 669, 520;
 668, 521;
 668, 523;
 667, 524;
 667, 525;
 666, 526;
 666, 527;
 665, 528;
 665, 529;
 664, 530;
 664, 531;
 663, 532;
 663, 534;
 662, 535;
 662, 536;
 661, 537;
 661, 538;
 660, 539;
 660, 540;
 659, 541;
 659, 542;
 658, 543;
 658, 545;
 657, 546;
 657, 547;
 656, 548;
 656, 549;
 655, 550;
 655, 551;
 654, 552;
 654, 553;
 653, 554;
 653, 556;
 652, 557;
 652, 558;
 651, 559;
 651, 560;
 650, 561;
 650, 562;
 649, 563;
 649, 564;
 648, 565;
 648, 567;
 647, 568;
 647, 569;
 646, 570;
 646, 571;
 645, 572;
 645, 573;
 644, 574;
 644, 575;
 643, 576;
 643, 578;
 642, 579;
 642, 580;
 641, 581;
 641, 582;
 640, 583;
 640, 584;
 639, 585;
 639, 586;
 638, 587;
 638, 589;
 637, 590;
 637, 591;
 636, 592;
 636, 593;
 635, 594;
 635, 595;
 634, 596;
 634, 597;
 633, 598;
